,Company,Valuation ($B),Country,City,Industry,Select Inverstors,Founded Year,Financial Stage,Investors Count,Deal Terms,Year Joined,Total Raised ($B),years_to_unicorn,Select_Inverstor_1
798,58 Daojia,1.0,China,Beijing,Internet software & services,"KKR, Alibaba Group, Ping An Insurance",2014,None,3,1,2015,0.3,1,"['KKR', ' Alibaba Group', ' Ping An Insurance']"
799,Womai,1.0,China,Beijing,E-commerce & direct-to-consumer,"SAIF Partners China, Baidu, IDG Capital",2009,None,5,1,2015,0.32,6,"['SAIF Partners China', ' Baidu', ' IDG Capital']"
800,HuJiang,1.0,China,Shanghai,Edtech,"China Minsheng Investment, Baidu, Wanxin Media",2001,None,3,1,2015,0.22329,14,"['China Minsheng Investment', ' Baidu', ' Wanxin Media']"
801,iTutorGroup,1.0,China,Shanghai,Edtech,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital",1998,None,10,1,2015,0.315,17,"['QiMing Venture Partners', ' Temasek Holdings', ' Silverlink Capital']"
802,MindMaze,1.0,Switzerland,Lausanne,Health,Hinduja Group,2012,None,5,3,2016,0.3485,4,['Hinduja Group']
803,iCarbonX,1.0,China,Shenzhen,Artificial intelligence,"Tencent, Vcanbio",2015,Acq,3,1,2016,0.199,1,"['Tencent', ' Vcanbio']"
804,SMS Assist,1.0,United States,Chicago,Internet software & services,"Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital",2003,None,3,3,2016,0.255,13,"['Goldman Sachs', ' Insights Venture Partners', ' Pritzker Group Venture Capital']"
806,Mobvoi,1.0,China,Beijing,Consumer & retail,"Sequoia Capital China, SIG Asia Investments, ZhenFund",2012,None,7,1,2017,0.25964,5,"['Sequoia Capital China', ' SIG Asia Investments', ' ZhenFund']"
807,Zhuan Zhuan,1.0,China,Beijing,E-commerce & direct-to-consumer,"58.com, Tencent Holdings",2015,None,7,1,2017,0.99,2,"['58.com', ' Tencent Holdings']"
808,Modernizing Medicine,1.0,United States,Boca Raton,Health,"Warburg Pincus, Summit Partners, Sands Capital",2010,None,6,4,2017,0.39379000000000003,7,"['Warburg Pincus', ' Summit Partners', ' Sands Capital']"
809,Zhaogang,1.0,China,Shanghai,E-commerce & direct-to-consumer,"K2 Ventures, Matrix Partners China, IDG Capital",2012,None,9,2,2017,0.36125,5,"['K2 Ventures', ' Matrix Partners China', ' IDG Capital']"
810,DianRong,1.0,China,Shanghai,E-commerce & direct-to-consumer,"Standard Chartered, FinSight Ventures, Affirma Capital",2012,None,16,1,2017,0.649,5,"['Standard Chartered', ' FinSight Ventures', ' Affirma Capital']"
811,Cell C,1.0,South Africa,Midrand,Mobile & telecommunications,"Blue Label Telecoms, Net1 UEPS Technologies",2000,None,2,2,2017,0.5469700000000001,17,"['Blue Label Telecoms', ' Net1 UEPS Technologies']"
812,YH Global,1.0,China,Shenzhen,"Supply chain, logistics, & delivery","Co-Energy Finance, Grandland",1997,None,8,1,2017,0.18205000000000002,20,"['Co-Energy Finance', ' Grandland']"
813,Revolution Precrafted,1.0,Philippines,Manila,Other,"K2 Global, 500 Startups",2015,None,2,2,2017,0.0154,2,"['K2 Global', ' 500 Startups']"
814,WeLab,1.0,Hong Kong,Fintech,"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund",None,2013,None,13,3,2017,0.896,4,['None']
815,Maimai,1.0,China,Beijing,Mobile & telecommunications,"Morningside Venture Capital, IDG Capital, DCM Ventures",2013,None,5,4,2017,0.3,4,"['Morningside Venture Capital', ' IDG Capital', ' DCM Ventures']"
816,Dxy.cn,1.0,China,Hangzhou,Health,"Tencent Holdings, DCM Ventures",2000,None,5,1,2018,0.672,18,"['Tencent Holdings', ' DCM Ventures']"
817,Orbbec Technology,1.0,China,Shenzhen,Hardware,"R-Z Capital, Green Pine Capital Partners, SAIF Partners China",2013,None,8,1,2018,0.2,5,"['R-Z Capital', ' Green Pine Capital Partners', ' SAIF Partners China']"
818,HMD Global,1.0,Finland,Espoo,Mobile & telecommunications,Ginko Ventures,2016,None,6,1,2018,0.33,2,['Ginko Ventures']
819,Huike Group,1.0,China,Beijing,Edtech,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co.",2010,None,4,1,2018,0.063,8,"['Fosun RZ Capital', ' Oceanwide Holdings', ' Shenzhen Qianhe Capital Management Co.']"
820,China Cloud,1.0,China,Wuxi,Hardware,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management",2010,None,31,1,2018,0.5227999999999999,8,"['V Star Capital', ' GF Xinde Investment Management Co.', ' Haitong Leading Capital Management']"
821,LinkDoc Technology,1.0,China,Beijing,Health,"China Investment Corporation, New Enterprise Associates",2014,None,10,1,2018,0.25302,4,"['China Investment Corporation', ' New Enterprise Associates']"
822,MediaMath,1.0,United States,New York,Internet software & services,"Silicon Valley Bank, QED Investors, European Founders Fund",2007,None,14,6,2018,0.6131599999999999,11,"['Silicon Valley Bank', ' QED Investors', ' European Founders Fund']"
823,Movile,1.0,Brazil,Sao Paulo,Mobile & telecommunications,"Innova Capital - FIP, 3G Capital Management, Prosus Ventures",1998,Acquired,4,None,2018,0.394,20,"['Innova Capital - FIP', ' 3G Capital Management', ' Prosus Ventures']"
824,Kuaigou Dache,1.0,China,Tianjin,"Supply chain, logistics, & delivery","Sequoia Capital China, InnoVision Capital, Qianhai Fund of Funds",2014,None,9,1,2018,0.65,4,"['Sequoia Capital China', ' InnoVision Capital', ' Qianhai Fund of Funds']"
825,Pat McGrath Labs,1.0,United States,New York,Consumer & retail,"One Luxury Group, Eurazeo",2016,None,2,1,2018,0.082,2,"['One Luxury Group', ' Eurazeo']"
826,Wacai,1.0,China,Hangzhou,Mobile & telecommunications,"Qiming Venture Partners, China Broadband Capital, CDH Investments",2009,Corporate,12,2,2018,0.36860000000000004,9,"['Qiming Venture Partners', ' China Broadband Capital', ' CDH Investments']"
827,FlashEx,1.0,China,Beijing,"Supply chain, logistics, & delivery","Prometheus Capital, Matrix Partners China, JD Capital Management",2014,None,22,1,2018,0.339,4,"['Prometheus Capital', ' Matrix Partners China', ' JD Capital Management']"
828,Banma Network Technologies,1.0,China,Shanghai,Auto & transportation,"Yunfeng Capital, SDIC Innovation Investment Management, Shang Qi Capital",2015,None,5,1,2018,0.69676,3,"['Yunfeng Capital', ' SDIC Innovation Investment Management', ' Shang Qi Capital']"
829,Tresata,1.0,United States,Charlotte,Fintech,GCP Capital Partners,2011,None,2,1,2018,0.05193,7,['GCP Capital Partners']
830,Momenta,1.0,China,Beijing,Artificial intelligence,"Sinovation Ventures, Tencent Holdings, Sequoia Capital China",2016,None,28,1,2018,1.283,2,"['Sinovation Ventures', ' Tencent Holdings', ' Sequoia Capital China']"
831,Hosjoy,1.0,China,Nanjing,E-commerce & direct-to-consumer,"U.S.-China Green Fund, Founder H Fund, Richland Equities",2009,None,7,1,2018,0.13853000000000001,9,"['U.S.-China Green Fund', ' Founder H Fund', ' Richland Equities']"
832,Omio,1.0,Germany,Berlin,Travel,"Lakestar, Battery Ventures, New Enterprise Associates",2013,None,22,3,2018,0.396,5,"['Lakestar', ' Battery Ventures', ' New Enterprise Associates']"
833,TERMINUS Technology,1.0,China,Beijing,Hardware,"China Everbright Limited, IDG Capital, iFLYTEK",2015,None,8,4,2018,0.62958,3,"['China Everbright Limited', ' IDG Capital', ' iFLYTEK']"
834,BitFury,1.0,Netherlands,Amsterdam,Hardware,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital",2011,Acquired,22,3,2018,0.17,7,"['Georgian Co-Investment Fund', ' iTech Capital', ' Galaxy Digital']"
835,iFood,1.0,Brazil,Osasco,"Supply chain, logistics, & delivery","Movile, Just Eat, Naspers",2011,None,6,2,2018,0.59186,7,"['Movile', ' Just Eat', ' Naspers']"
836,Geek+,1.0,China,Beijing,Hardware,"Volcanics Ventures, Vertex Ventures China, Warburg Pincus",2015,None,9,1,2018,0.43361,3,"['Volcanics Ventures', ' Vertex Ventures China', ' Warburg Pincus']"
837,REEF Technology,1.0,United States,Miami,"Supply chain, logistics, & delivery","Target Global, UBS Asset Management, Mubadala Capital",2015,None,9,1,2018,0.43361,3,"['Target Global', ' UBS Asset Management', ' Mubadala Capital']"
838,Globality,1.0,United States,Menlo Park,Artificial intelligence,SoftBank Group,2015,None,20,3,2019,0.3103,4,['SoftBank Group']
839,Ynsect,1.0,France,Evry,Other,"Astanor Ventures, Upfront Ventures, IDInvest Partners",2011,None,20,1,2019,0.39339999999999997,8,"['Astanor Ventures', ' Upfront Ventures', ' IDInvest Partners']"
840,Intellifusion,1.0,China,Shenzhen,Artificial intelligence,"BOC International, TopoScend Capital, Hongxiu VC",2014,None,36,1,2019,0.28785000000000005,5,"['BOC International', ' TopoScend Capital', ' Hongxiu VC']"
841,Liquid,1.0,Japan,Tokyo,Fintech,"JAFCO Co, Bitmain Technologies, IDG Capital",2014,None,8,2,2019,0.158,5,"['JAFCO Co', ' Bitmain Technologies', ' IDG Capital']"
843,VTS,1.0,United States,New York,Internet software & services,"Trinity Ventures, Fifth Wall Ventures, OpenView Venture Partners",2012,None,17,5,2019,0.32718,7,"['Trinity Ventures', ' Fifth Wall Ventures', ' OpenView Venture Partners']"
845,KnowBox,1.0,China,Beijing,Edtech,"TAL Education Group, Legend Star, Alibaba Group",2014,None,13,2,2019,0.30616000000000004,5,"['TAL Education Group', ' Legend Star', ' Alibaba Group']"
846,Yanolja,1.0,South Korea,Seoul,Travel,"SBI Investment Korea, Partners Investment, GIC",2005,None,11,4,2019,2.036,14,"['SBI Investment Korea', ' Partners Investment', ' GIC']"
847,Meero,1.0,France,Paris,Artificial intelligence,"Aglae Ventures, Global Founders Capital, Alven Capital",2016,None,10,3,2019,0.2975,3,"['Aglae Ventures', ' Global Founders Capital', ' Alven Capital']"
848,SumUp,1.0,United Kingdom,London,Fintech,"American Express Ventures, Goldman Sachs, Bain Capital Credit",2011,Acquired,18,2,2019,1.365,8,"['American Express Ventures', ' Goldman Sachs', ' Bain Capital Credit']"
849,Ibotta,1.0,United States,Denver,Fintech,"Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital",2011,None,19,3,2019,0.09591,8,"['Koch Disruptive Technologies', ' Teamworthy Ventures', ' GGV Capital']"
850,C2FO,1.0,United States,Leawood,Fintech,"Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management",2008,None,14,7,2019,0.5396799999999999,11,"['Union Square Ventures', ' Summerhill Venture Partners', ' Mithril Capital Management']"
851,Numbrs,1.0,Switzerland,Zurich,Fintech,"Investment Corporation of Dubai, Centralway",2012,None,6,2,2019,0.1276,7,"['Investment Corporation of Dubai', ' Centralway']"
852,EBANX,1.0,Brazil,Curitiba,Fintech,"FTV Capital, Endeavor",2012,None,3,1,2019,0.46,7,"['FTV Capital', ' Endeavor']"
853,KK Group,3.0,China,Dongguan,E-commerce & direct-to-consumer,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",2014,None,15,2,2019,0.6144400000000001,5,"['Matrix Partners China', ' Bright Venture Capita', ' Shenzhen Capital Group']"
854,Alto Pharmacy,1.0,United States,San Francisco,Health,"Jackson Square Ventures, Greenoaks Capital Management, Softbank Group",2015,None,11,2,2020,0.5880700000000001,5,"['Jackson Square Ventures', ' Greenoaks Capital Management', ' Softbank Group']"
855,Hotmart,1.0,Netherlands,Amsterdam,E-commerce & direct-to-consumer,"Technology Crossover Ventures, Alkeon Capital Management, General Atlantic",2011,Acquired,6,1,2020,0.1303,9,"['Technology Crossover Ventures', ' Alkeon Capital Management', ' General Atlantic']"
856,Emerging Markets Property Group,1.0,United Arab Emirates,Dubai,Other,"OLX Group, KCK Group, EXOR Seeds",2015,None,3,1,2020,0.279,5,"['OLX Group', ' KCK Group', ' EXOR Seeds']"
857,Quizlet,1.0,United States,San Francisco,Edtech,"Union Square Ventures, Altos Ventures, Costanoa Ventures",2005,None,8,3,2020,0.062,15,"['Union Square Ventures', ' Altos Ventures', ' Costanoa Ventures']"
858,Orca Bio,1.0,United States,Menlo Park,Health,"Lightspeed Venture Partners, Data Collective, 8VC",2016,None,7,1,2020,0.192,4,"['Lightspeed Venture Partners', ' Data Collective', ' 8VC']"
859,Newlink Group,1.0,China,Beijing,E-commerce & direct-to-consumer,"JOY Capital, NIO Capital, Blueflame Capital",2016,None,30,1,2020,0.9783999999999999,4,"['JOY Capital', ' NIO Capital', ' Blueflame Capital']"
860,Infobip,1.0,Croatia,Vodnjan,Mobile & telecommunications,One Equity Partners,2006,None,3,1,2020,0.8,14,['One Equity Partners']
861,Zwift,1.0,United States,Long Beach,E-commerce & direct-to-consumer,"Novator Partners, True, Causeway Media Partners",2014,None,13,2,2020,0.597,6,"['Novator Partners', ' True', ' Causeway Media Partners']"
862,Playco,1.0,Japan,Tokyo,Other,"Sozo Ventures, Caffeinated Capital, Sequoia Capital",2020,None,9,1,2020,0.1,0,"['Sozo Ventures', ' Caffeinated Capital', ' Sequoia Capital']"
863,Socar,1.0,South Korea,Jeju-do,Auto & transportation,"Bain Capital, Altos Ventures, Songhyun Investment",1992,None,9,1,2020,0.1,28,"['Bain Capital', ' Altos Ventures', ' Songhyun Investment']"
864,Gousto,1.7,United Kingdom,London,"Supply chain, logistics, & delivery","MMC Ventures, BGF Ventures, Unilever Ventures",2012,None,16,4,2020,0.361,8,"['MMC Ventures', ' BGF Ventures', ' Unilever Ventures']"
865,Boom Supersonic,1.0,United States,Englewood,Other,"WRVI Capital, Caffeinated Capital, Y Combinator",2014,None,22,2,2020,0.24761000000000002,6,"['WRVI Capital', ' Caffeinated Capital', ' Y Combinator']"
866,Qualia,1.0,United States,San Francisco,Fintech,"8VC, Menlo Ventures, Tiger Global Management",2015,None,7,3,2020,0.20018,5,"['8VC', ' Menlo Ventures', ' Tiger Global Management']"
867,Quantum Metric,1.0,United States,Colorado Springs,Data management & analytics,"Insight Partners, Bain Capital Ventures",2015,None,6,2,2021,0.251,6,"['Insight Partners', ' Bain Capital Ventures']"
868,News Break,1.0,United States,Mountain View,Internet software & services,"IDG Capital, Francisco Partners, ZhenFund",2015,None,5,3,2021,0.14023,6,"['IDG Capital', ' Francisco Partners', ' ZhenFund']"
869,MadeiraMadeira,1.0,Brazil,Parana,E-commerce & direct-to-consumer,"Flybridge Capital Partners, SoftBank Group, Monashees+",2009,None,10,2,2021,0.30457999999999996,12,"['Flybridge Capital Partners', ' SoftBank Group', ' Monashees+']"
870,PPRO,1.0,United Kingdom,London,Fintech,"Wellington Management, Eurazeo, Citi Ventures",2006,None,9,1,2021,0.37,15,"['Wellington Management', ' Eurazeo', ' Citi Ventures']"
871,Splashtop,1.0,United States,San Jose,Internet software & services,"Storm Ventures, DFJ DragonFund, New Enterprise Associates",2006,None,18,4,2021,0.1115,15,"['Storm Ventures', ' DFJ DragonFund', ' New Enterprise Associates']"
872,DriveNets,1.0,Israel,Ra'anana,Internet software & services,"Bessemer Venture Partners, Pitango Venture Capital, D1 Capital Partners",2015,None,10,1,2021,0.325,6,"['Bessemer Venture Partners', ' Pitango Venture Capital', ' D1 Capital Partners']"
873,Flash Express,1.0,Thailand,Bangkok,"Supply chain, logistics, & delivery","SCB 10X, Krungsri Finnovate, eWTP Capital",2017,None,10,2,2021,0.36,4,"['SCB 10X', ' Krungsri Finnovate', ' eWTP Capital']"
874,Axiom Space,1.0,United States,Houston,Other,"C5 Capital, Hemisphere Ventures, The Venture Collective",2016,None,12,1,2021,0.23,5,"['C5 Capital', ' Hemisphere Ventures', ' The Venture Collective']"
875,Locus Robotics,1.0,United States,Wilmington,Hardware,"Scale Venture Partners, Bond, Tiger Global Management",2014,None,8,3,2021,0.31582,7,"['Scale Venture Partners', ' Bond', ' Tiger Global Management']"
876,Standard,1.0,United States,San Francisco,Artificial intelligence,"CRV, Y Combinator, Initialized Capital",2017,None,11,3,2021,0.23562,4,"['CRV', ' Y Combinator', ' Initialized Capital']"
877,Sentry,1.0,United States,San Francisco,Other,"New Enterprise Associates, Accel, Bond",2011,None,5,3,2021,0.1265,10,"['New Enterprise Associates', ' Accel', ' Bond']"
878,WeBull,1.0,China,Changsha,Fintech,"Bojiang Capital, Hongdao Capital, Mobai Capital",2016,None,7,2,2021,0.23031000000000001,5,"['Bojiang Capital', ' Hongdao Capital', ' Mobai Capital']"
879,Skydio,1.0,United States,Redwood City,"Supply chain, logistics, & delivery","Andreessen Horowitz, Andreessen Horowitz, Institutional Venture Partners, Accel",2014,None,12,4,2021,0.344,7,"['Andreessen Horowitz', ' Andreessen Horowitz', ' Institutional Venture Partners', ' Accel']"
880,Newsela,1.0,United States,New York,Internet software & services,"Owl Ventures, Technology Crossover Ventures, Tao Capital Partners",2013,None,32,3,2021,0.17072,8,"['Owl Ventures', ' Technology Crossover Ventures', ' Tao Capital Partners']"
881,Aqua Security,1.0,Israel,Ramat Gan,Cybersecurity,"TLV Partners, Lightspeed Venture Partners, M12",2015,None,9,3,2021,0.265,6,"['TLV Partners', ' Lightspeed Venture Partners', ' M12']"
882,PatSnap,1.0,Singapore,Internet software & services,"Sequoia Capital China, Shunwei Capital Partners, Qualgro",None,2007,None,10,3,2021,0.35231999999999997,14,['None']
883,Evidation,1.0,United States,San Mateo,Health,"B Capital Group,, GE Ventures, McKesson Ventures",2012,None,15,4,2021,0.25918,9,"['B Capital Group', '', ' GE Ventures', ' McKesson Ventures']"
884,Sidecar Health,1.0,United States,El Segundo,Fintech,"GreatPoint Ventures, Tiger Global Management, Menlo Ventures",2018,None,10,1,2021,0.163,3,"['GreatPoint Ventures', ' Tiger Global Management', ' Menlo Ventures']"
885,Feedzai,1.0,United States,San Mateo,Artificial intelligence,"Global Founders Capital, Shea Ventures, Greycroft",2009,None,10,3,2021,0.2778,12,"['Global Founders Capital', ' Shea Ventures', ' Greycroft']"
886,Yunxuetang,1.0,China,Suzhou,Edtech,"Matrix Partners China, Sequoia Capital China, Hundreds Capital",2011,None,9,1,2021,0.39727999999999997,10,"['Matrix Partners China', ' Sequoia Capital China', ' Hundreds Capital']"
887,Cameo,1.0,United States,Chicago,Internet software & services,"Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers, Origin Ventures",2016,None,20,2,2021,0.16571,5,"['Lightspeed Venture Partners', ' Kleiner Perkins Caufield & Byers', ' Origin Ventures']"
888,Fetch Rewards,1.0,United States,Madison,E-commerce & direct-to-consumer,"Greycroft, Loeb.NYC, DST Global",2014,None,12,3,2021,0.34151,7,"['Greycroft', ' Loeb.NYC', ' DST Global']"
889,Hyperchain,1.0,China,Hangzhou,Fintech,"Yinhong Equity Investment Fund, E Fund, Ideal International",2016,None,14,2,2021,0.249,5,"['Yinhong Equity Investment Fund', ' E Fund', ' Ideal International']"
890,The Zebra,1.0,United States,Austin,E-commerce & direct-to-consumer,"Silverton Partners, Accel, Ballast Point Ventures",2012,None,11,5,2021,0.25508000000000003,9,"['Silverton Partners', ' Accel', ' Ballast Point Ventures']"
891,Clearcover,1.0,United States,Chicago,Fintech,"American Family Ventures, Cox Enterprises, OMERS Ventures",2016,None,10,2,2021,0.307,5,"['American Family Ventures', ' Cox Enterprises', ' OMERS Ventures']"
892,Groq,1.0,United States,Mountain View,Artificial intelligence,"TDK Ventures, Social Capital, D1 Capital Partners",2016,None,14,3,2021,0.36255000000000004,5,"['TDK Ventures', ' Social Capital', ' D1 Capital Partners']"
893,Fiture,1.0,China,Chengdu,Health,"Bertelsmann Asia Investments, Sequoia Capital China, NIO Capital",2019,None,15,1,2021,0.391,2,"['Bertelsmann Asia Investments', ' Sequoia Capital China', ' NIO Capital']"
894,Injective Protocol,1.0,United States,New York,Fintech,"Pantera Capital, Cadenza Ventures, BlockTower Capital",2018,None,12,1,2021,0.013099999999999999,3,"['Pantera Capital', ' Cadenza Ventures', ' BlockTower Capital']"
895,Sift,1.0,United States,San Francisco,Artificial intelligence,"Union Square Ventures, Insight Partners, Spark Capital",2011,None,20,4,2021,0.15652000000000002,10,"['Union Square Ventures', ' Insight Partners', ' Spark Capital']"
896,SaltPay,1.0,United Kingdom,London,Fintech,"Tiger Global Management, Hedosophia",2019,None,20,4,2021,0.15652000000000002,2,"['Tiger Global Management', ' Hedosophia']"
897,Capsule,1.0,United States,New York,Health,"Thrive Capital, Durable Capital Partners, G Squared",2016,None,11,3,2021,0.57,5,"['Thrive Capital', ' Durable Capital Partners', ' G Squared']"
898,MOLOCO,1.5,United States,Redwood City,Artificial intelligence,"Smilegate Investment, DSC Investments, KTB Ventures",2013,None,8,3,2021,0.18757,8,"['Smilegate Investment', ' DSC Investments', ' KTB Ventures']"
899,Mux,1.0,United States,San Francisco,Internet software & services,"Accel, Cobalt Capital, Andreessen Horowitz",2015,None,20,2,2021,0.17392,6,"['Accel', ' Cobalt Capital', ' Andreessen Horowitz']"
900,XForcePlus,1.0,China,Shanghai,Internet software & services,"Eastern Bell Capital, Danhua Capital, MSA Capital",2015,None,12,2,2021,0.2,6,"['Eastern Bell Capital', ' Danhua Capital', ' MSA Capital']"
901,Firefly Aerospace,1.1,United States,Cedar Park,Other,"XBTO Ventures, Raven One Ventures, SK Ventures",2014,None,12,3,2021,0.10025,7,"['XBTO Ventures', ' Raven One Ventures', ' SK Ventures']"
902,HoneyBook,1.1,United States,San Francisco,Internet software & services,"Norwest Venture Partners, Hillsven Capital, Aleph",2013,None,23,5,2021,0.48034,8,"['Norwest Venture Partners', ' Hillsven Capital', ' Aleph']"
903,Shift Technology,1.0,France,Paris,Artificial intelligence,"Griffin Gaming Partners, Andreessen Horowitz, Battery Ventures",2014,None,11,3,2021,0.31972,7,"['Griffin Gaming Partners', ' Andreessen Horowitz', ' Battery Ventures']"
904,TensTorrent,1.0,Canada,Toronto,Artificial intelligence,"Eclipse Ventures, Fidelity Investments, Moore Capital Management",2016,None,4,1,2021,0.22103,5,"['Eclipse Ventures', ' Fidelity Investments', ' Moore Capital Management']"
905,Zihaiguo,1.0,China,Chongqing,Consumer & retail,"Xingwang Investment Management, China Capital Investment Group, Matrix Partners China",2018,None,5,2,2021,0.06408,3,"['Xingwang Investment Management', ' China Capital Investment Group', ' Matrix Partners China']"
906,Forte Labs,1.0,United States,San Francisco,Fintech,"Iris Capital, Accel, Elaia Partners",2018,None,5,2,2021,0.06408,3,"['Iris Capital', ' Accel', ' Elaia Partners']"
907,Axtria,1.0,United States,Berkeley Heights,Data management & analytics,"Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India",2009,None,9,3,2021,0.20632,12,"['Helion Venture Partners', ' Bain Capital Tech Opportunities', ' Sequoia Capital India']"
908,Amount,1.0,United States,Chicago,Fintech,"Invus Group, Hanaco Venture Capital, WestCap Group",2019,None,9,2,2021,0.1875,2,"['Invus Group', ' Hanaco Venture Capital', ' WestCap Group']"
909,Vise,1.0,United States,New York,Fintech,"Sequoia Capital, Founders Fund, Bling Capital",2016,None,22,1,2021,0.12655,5,"['Sequoia Capital', ' Founders Fund', ' Bling Capital']"
910,Printful,1.0,United States,Charlotte,Other,Bregal Sagemount,2016,None,22,1,2021,0.12655,5,['Bregal Sagemount']
911,Matrixport,1.05,Singapore,Fintech,"Dragonfly Captial, Qiming Venture Partners, DST Global",None,2019,None,22,1,2021,0.12655,2,['None']
912,Shippo,1.0,United States,San Francisco,"Supply chain, logistics, & delivery","Version One Ventures, Uncork Capital, Bessemer Venture Partners",2013,None,16,6,2021,0.15403,8,"['Version One Ventures', ' Uncork Capital', ' Bessemer Venture Partners']"
913,Thirty Madison,1.0,United States,New York,Health,"Northzone Ventures, Maveron, Johnson & Johnson Innovation",1993,None,2,1,2021,0.008,28,"['Northzone Ventures', ' Maveron', ' Johnson & Johnson Innovation']"
914,LetsGetChecked,1.0,Ireland,Dublin,Health,"Optum Ventures, Qiming Venture Partners, Transformation Capital",2015,None,10,2,2021,0.263,6,"['Optum Ventures', ' Qiming Venture Partners', ' Transformation Capital']"
915,EcoFlow,1.0,China,Shenzhen,Hardware,"Delian Capital, China International Capital Corporation, Sequoia Capital China",2017,None,13,1,2021,0.11059000000000001,4,"['Delian Capital', ' China International Capital Corporation', ' Sequoia Capital China']"
916,Carro,1.0,Singapore,E-commerce & direct-to-consumer,"SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures",None,2015,None,31,4,2021,0.68452,6,['None']
917,Tractable,1.0,United Kingdom,London,Artificial intelligence,"Insight Partners, Ignition Partners, Georgian Partners",2014,None,10,3,2021,0.11982999999999999,7,"['Insight Partners', ' Ignition Partners', ' Georgian Partners']"
918,Bringg,1.0,Israel,Tel Aviv,"Supply chain, logistics, & delivery","Salesforce Ventures, next47, Pereg Ventures",2013,None,14,3,2021,0.1845,8,"['Salesforce Ventures', ' next47', ' Pereg Ventures']"
919,Claroty,1.0,United States,New York,Cybersecurity,"Bessemer Venture Partners, MoreVC, Team8",2015,None,22,3,2021,0.632,6,"['Bessemer Venture Partners', ' MoreVC', ' Team8']"
920,JoyTunes,1.0,Israel,Tel Aviv,Edtech,"Genesis Partners, Aleph, Insight Partners",2011,None,10,3,2021,0.0915,10,"['Genesis Partners', ' Aleph', ' Insight Partners']"
921,Aircall,1.0,United States,New York,Internet software & services,"Balderton Capital, Next World Capital, Draper Esprit",2014,None,15,3,2021,0.22563,7,"['Balderton Capital', ' Next World Capital', ' Draper Esprit']"
922,SmartAsset,1.0,United States,New York,Fintech,"Javelin Venture Partners, TTV Capital, Peterson Ventures",2012,None,17,4,2021,0.15762,9,"['Javelin Venture Partners', ' TTV Capital', ' Peterson Ventures']"
923,Morning Consult,1.0,United States,Washington DC,Internet software & services,"Advance Venture Partners, Susquehanna Growth Equity, Lupa Systems",2014,None,3,2,2021,0.091,7,"['Advance Venture Partners', ' Susquehanna Growth Equity', ' Lupa Systems']"
924,Visier,1.0,Canada,Vancouver,Internet software & services,"Foundation Capital, 	Summit Partners, Adams Street Partners",2010,None,5,3,2021,0.2165,11,"['Foundation Capital', ' \tSummit Partners', ' Adams Street Partners']"
925,ShipBob,1.0,United States,Chicago,"Supply chain, logistics, & delivery","Hyde Park Venture Partners,	FundersClub. Bain Capital Ventures",2014,None,13,3,2021,0.3311,7,"['Hyde Park Venture Partners', '\tFundersClub. Bain Capital Ventures']"
926,Blinkit,1.01,India,Gurgaon,"Supply chain, logistics, & delivery","Tiger Global Management, Sequoia Capital India, SoftBank Group",2013,None,9,9,2021,0.57382,8,"['Tiger Global Management', ' Sequoia Capital India', ' SoftBank Group']"
927,Kitopi,1.0,United Arab Emirates,Dubai,"Supply chain, logistics, & delivery","CE-Ventures, BECO Capital, Nordstar",2018,None,17,1,2021,0.5022,3,"['CE-Ventures', ' BECO Capital', ' Nordstar']"
928,bolttech,1.0,Singapore,Fintech,"Mundi Ventures, Doqling Capital Partners, Activant Capital",None,2018,None,17,1,2021,0.5022,3,['None']
929,MobileCoin,1.0,United States,San Francisco,Fintech,"General Catalyst, Future Ventures, AU21",2018,None,12,1,2021,0.10803,3,"['General Catalyst', ' Future Ventures', ' AU21']"
930,Lunar,1.0,Denmark,Aarhus,Fintech,"SEED Capital, Greyhound Capital, Socii Capital",2015,None,18,1,2021,0.37129,6,"['SEED Capital', ' Greyhound Capital', ' Socii Capital']"
931,Amperity,1.0,United States,Seattle,Artificial intelligence,"Madrona Venture Group, Tiger Global Management, Madera Technology Partners",2016,None,15,3,2021,0.21730000000000002,5,"['Madrona Venture Group', ' Tiger Global Management', ' Madera Technology Partners']"
932,Remote,1.0,United States,San Francisco,Fintech,"Index Ventures, Sequoia Capital, General Catalyst",2016,None,15,3,2021,0.21730000000000002,5,"['Index Ventures', ' Sequoia Capital', ' General Catalyst']"
933,Pantheon Systems,1.0,United States,San Francisco,Internet software & services,"Foundry Group, Scale Venture Partners, SoftBank Group",2020,None,1,None,2021,0.00015,1,"['Foundry Group', ' Scale Venture Partners', ' SoftBank Group']"
